dataset,check_type,column,key_value,row_index,reason,original_value,timestamp
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_19987,234,"Negative volume (-20.98 L) — likely return/reversal. Tagged for aggregation, not dropped.",-20.97522261545517,2026-05-16T00:21:30.933883
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_14664,1097,"Negative volume (-142.66 L) — likely return/reversal. Tagged for aggregation, not dropped.",-142.66237109624393,2026-05-16T00:21:30.933927
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_13596,1209,"Negative volume (-72.34 L) — likely return/reversal. Tagged for aggregation, not dropped.",-72.33638536313663,2026-05-16T00:21:30.933953
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_10231,2278,"Negative volume (-64.17 L) — likely return/reversal. Tagged for aggregation, not dropped.",-64.16553952078387,2026-05-16T00:21:30.933974
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_17901,3621,"Negative volume (-6.01 L) — likely return/reversal. Tagged for aggregation, not dropped.",-6.0063746449514195,2026-05-16T00:21:30.933994
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_16990,5539,"Negative volume (-48.17 L) — likely return/reversal. Tagged for aggregation, not dropped.",-48.16716788631389,2026-05-16T00:21:30.934012
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_14981,6358,"Negative volume (-19.29 L) — likely return/reversal. Tagged for aggregation, not dropped.",-19.292824038448067,2026-05-16T00:21:30.934029
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_17208,6536,"Negative volume (-90.31 L) — likely return/reversal. Tagged for aggregation, not dropped.",-90.313230864371,2026-05-16T00:21:30.934046
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_13324,6539,"Negative volume (-9.31 L) — likely return/reversal. Tagged for aggregation, not dropped.",-9.309313409493612,2026-05-16T00:21:30.934063
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_02956,7641,"Negative volume (-33.40 L) — likely return/reversal. Tagged for aggregation, not dropped.",-33.402438965976756,2026-05-16T00:21:30.934080
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_09644,7801,"Negative volume (-3.74 L) — likely return/reversal. Tagged for aggregation, not dropped.",-3.7354623288150703,2026-05-16T00:21:30.934097
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_10635,8888,"Negative volume (-4.13 L) — likely return/reversal. Tagged for aggregation, not dropped.",-4.126454041387895,2026-05-16T00:21:30.934114
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_04280,9611,"Negative volume (-7.20 L) — likely return/reversal. Tagged for aggregation, not dropped.",-7.204768998428933,2026-05-16T00:21:30.934130
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_12140,9712,"Negative volume (-29.34 L) — likely return/reversal. Tagged for aggregation, not dropped.",-29.340923152874563,2026-05-16T00:21:30.934147
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_12601,10156,"Negative volume (-5.80 L) — likely return/reversal. Tagged for aggregation, not dropped.",-5.804334276787905,2026-05-16T00:21:30.934163
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_08380,10905,"Negative volume (-10.70 L) — likely return/reversal. Tagged for aggregation, not dropped.",-10.703745883275689,2026-05-16T00:21:30.934180
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_15047,11601,"Negative volume (-106.62 L) — likely return/reversal. Tagged for aggregation, not dropped.",-106.6162696363696,2026-05-16T00:21:30.934196
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_04185,12050,"Negative volume (-8.86 L) — likely return/reversal. Tagged for aggregation, not dropped.",-8.859455207478975,2026-05-16T00:21:30.934213
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_19437,13678,"Negative volume (-15.22 L) — likely return/reversal. Tagged for aggregation, not dropped.",-15.21803400373684,2026-05-16T00:21:30.934229
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_15063,15450,"Negative volume (-25.78 L) — likely return/reversal. Tagged for aggregation, not dropped.",-25.77979687715121,2026-05-16T00:21:30.934245
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_13931,15797,"Negative volume (-18.44 L) — likely return/reversal. Tagged for aggregation, not dropped.",-18.436650994760047,2026-05-16T00:21:30.934261
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_17838,16140,"Negative volume (-146.75 L) — likely return/reversal. Tagged for aggregation, not dropped.",-146.74768103099058,2026-05-16T00:21:30.934277
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_12354,16193,"Negative volume (-17.56 L) — likely return/reversal. Tagged for aggregation, not dropped.",-17.561978037028545,2026-05-16T00:21:30.934293
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_17926,16774,"Negative volume (-195.75 L) — likely return/reversal. Tagged for aggregation, not dropped.",-195.7538019697336,2026-05-16T00:21:30.934309
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_10581,16782,"Negative volume (-15.13 L) — likely return/reversal. Tagged for aggregation, not dropped.",-15.13238444197343,2026-05-16T00:21:30.934325
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_16551,16985,"Negative volume (-54.25 L) — likely return/reversal. Tagged for aggregation, not dropped.",-54.246169487544215,2026-05-16T00:21:30.934341
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_06550,17195,"Negative volume (-13.96 L) — likely return/reversal. Tagged for aggregation, not dropped.",-13.960920978754755,2026-05-16T00:21:30.934357
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_02072,17522,"Negative volume (-72.08 L) — likely return/reversal. Tagged for aggregation, not dropped.",-72.07653560126438,2026-05-16T00:21:30.934373
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_16279,17535,"Negative volume (-119.54 L) — likely return/reversal. Tagged for aggregation, not dropped.",-119.54049212390052,2026-05-16T00:21:30.934388
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_03330,17970,"Negative volume (-397.94 L) — likely return/reversal. Tagged for aggregation, not dropped.",-397.9350135535184,2026-05-16T00:21:30.934404
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_15212,18031,"Negative volume (-20.07 L) — likely return/reversal. Tagged for aggregation, not dropped.",-20.070486614688896,2026-05-16T00:21:30.934421
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_13822,18893,"Negative volume (-12.03 L) — likely return/reversal. Tagged for aggregation, not dropped.",-12.03276884805914,2026-05-16T00:21:30.934439
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_14208,19582,"Negative volume (-129.59 L) — likely return/reversal. Tagged for aggregation, not dropped.",-129.59105257553048,2026-05-16T00:21:30.934455
transactions,NEGATIVE_VOLUME,Volume_Liters,OUT_08736,19602,"Negative volume (-18.24 L) — likely return/reversal. Tagged for aggregation, not dropped.",-18.244393518691023,2026-05-16T00:21:30.934471
