Outlet_ID,Trade_Spend_Allocation
OUT_00001,5695.42
OUT_00002,2146.07
OUT_00003,2500.44
OUT_00004,3698.42
OUT_00005,4954.64
OUT_00006,1679.89
OUT_00007,5955.13
OUT_00008,8776.99
OUT_00009,9362.11
OUT_00010,4622.84
OUT_00011,9429.42
OUT_00012,3234.96
OUT_00013,0.0
OUT_00014,0.0
OUT_00015,0.0
OUT_00016,2702.79
OUT_00017,4111.87
OUT_00018,2736.51
OUT_00019,7863.92
OUT_00020,9627.96
OUT_00021,4657.99
OUT_00022,1242.47
OUT_00023,5577.73
OUT_00024,7543.26
OUT_00025,902.52
OUT_00026,5380.69
OUT_00027,1432.02
OUT_00028,2075.07
OUT_00029,0.0
OUT_00030,6196.55
OUT_00031,5439.78
OUT_00032,4627.55
OUT_00033,7889.3
OUT_00034,6026.45
OUT_00035,8506.03
OUT_00036,202.8
OUT_00037,4896.91
OUT_00038,3633.59
OUT_00039,8910.23
OUT_00040,5031.75
OUT_00041,5215.07
OUT_00042,8073.65
OUT_00043,0.0
OUT_00044,6935.16
OUT_00045,4506.33
OUT_00046,0.0
OUT_00047,7515.99
OUT_00048,0.0
OUT_00049,7782.17
OUT_00050,0.0
OUT_00051,2325.25
OUT_00052,4048.88
OUT_00053,9436.32
OUT_00054,8596.76
OUT_00055,10136.78
OUT_00056,8072.87
OUT_00057,6192.81
OUT_00058,4446.03
OUT_00059,0.0
OUT_00060,3385.82
OUT_00061,0.0
OUT_00062,841.96
OUT_00063,0.0
OUT_00064,4153.5
OUT_00065,3164.99
OUT_00066,0.0
OUT_00067,4381.59
OUT_00068,3798.63
OUT_00069,0.0
OUT_00070,0.0
OUT_00071,0.0
OUT_00072,962.81
OUT_00073,0.0
OUT_00074,1501.44
OUT_00075,0.0
OUT_00076,0.0
OUT_00077,2641.8
OUT_00078,569.86
OUT_00079,1361.65
OUT_00080,4080.92
OUT_00081,0.0
OUT_00082,0.0
OUT_00083,0.0
OUT_00084,0.0
OUT_00085,3189.1
OUT_00086,0.0
OUT_00087,1856.06
OUT_00088,4379.57
OUT_00089,0.0
OUT_00090,6247.9
OUT_00091,0.0
OUT_00092,6068.46
OUT_00093,0.0
OUT_00094,494.02
OUT_00095,0.0
OUT_00096,365.85
OUT_00097,0.0
OUT_00098,645.76
OUT_00099,0.0
OUT_00100,0.0
OUT_00101,845.54
OUT_00102,0.0
OUT_00103,614.43
OUT_00104,1459.02
OUT_00105,0.0
OUT_00106,5090.39
OUT_00107,0.0
OUT_00108,6029.21
OUT_00109,0.0
OUT_00110,2780.29
OUT_00111,0.0
